,A_W,A_L,A_G,A_SEED,A_RK,A_ADJEM,A_ADJOE,A_ADJOE_R,A_ADJDE,A_ADJDE_R,A_ADJ_T,A_ADJ_T_R,A_Luck,A_Luck_R,A_SOS,A_SOS_R,A_OppO,A_OppO_R,A_OppD,A_OppD_R,A_NCSOS,A_NCSOS_R,B_W,B_L,B_G,B_SEED,B_RK,B_ADJEM,B_ADJOE,B_ADJOE_R,B_ADJDE,B_ADJDE_R,B_ADJ_T,B_ADJ_T_R,B_Luck,B_Luck_R,B_SOS,B_SOS_R,B_OppO,B_OppO_R,B_OppD,B_OppD_R,B_NCSOS,B_NCSOS_R,result,year
722,26,9,35,3,26,18.32,113.2,24,94.9,45,63.3,230,0.09,11,9.28,13,105.9,49,96.6,1,-1.14,196,26,8,34,14,66,11.36,112.1,32,100.7,136,63.9,205,-0.002,186,-5.09,269,100.3,266,105.4,283,6.42,23,0,2013
723,24,10,34,9,59,12.67,111.3,39,98.6,100,65.6,121,0.038,87,5.48,72,105.7,58,100.2,82,0.82,130,24,11,35,8,33,16.99,116.8,10,99.8,122,66.8,69,-0.032,259,6.54,53,106.1,40,99.5,61,-0.36,167,0,2013
724,27,8,35,6,14,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,26,7,33,11,43,14.92,111.6,37,96.6,69,65.9,114,0.013,144,-0.74,157,103.8,118,104.6,244,5.39,33,0,2013
725,29,7,36,2,13,22.37,113.6,22,91.3,18,61.9,281,0.028,108,8.41,20,107.7,9,99.3,54,4.96,42,22,13,35,15,128,3.96,106.1,114,102.2,158,62.2,275,0.074,26,0.86,130,104.2,111,103.3,187,9.06,7,0,2013
726,30,9,39,9,17,20.31,111.8,35,91.5,20,63.8,208,-0.002,185,6.71,51,106.9,17,100.2,79,0.17,152,24,9,33,8,11,24.08,115.6,12,91.5,21,59.3,337,-0.058,304,4.52,84,104.9,89,100.4,87,-9.69,340,0,2013
727,28,8,36,7,15,21.75,118.3,5,96.5,66,63.8,211,-0.009,208,5.73,67,105.5,74,99.7,65,1.63,113,22,12,34,10,40,15.57,105.9,118,90.4,15,63.0,243,-0.012,215,7.31,35,105.6,66,98.3,23,-5.68,304,0,2013
728,31,6,37,1,8,25.23,112.7,27,87.5,5,66.4,86,0.01,153,7.05,40,106.8,19,99.8,66,2.64,87,20,16,36,16,173,-0.41,101.8,188,102.2,157,64.6,179,0.029,105,-2.47,199,100.9,235,103.3,186,3.24,75,0,2013
729,30,6,36,2,6,26.98,119.1,4,92.1,26,66.7,75,0.033,97,9.95,10,108.4,4,98.5,29,6.85,18,24,11,35,15,150,1.36,102.6,171,101.3,144,61.7,289,0.082,18,-5.19,275,98.6,318,103.8,210,-6.61,319,0,2013
730,32,3,35,1,5,27.81,120.5,3,92.7,30,63.3,232,0.026,116,4.37,87,105.4,75,101.0,102,5.03,39,23,10,33,16,162,0.5,99.3,231,98.8,103,63.4,222,-0.031,257,-11.47,347,95.2,347,106.7,331,4.12,58,0,2013
731,27,9,36,5,18,20.28,114.0,20,93.7,36,66.4,91,0.002,171,5.09,76,105.8,56,100.7,97,-0.22,161,26,7,33,12,62,11.52,106.8,101,95.2,50,65.2,140,0.085,17,-0.35,147,102.4,157,102.7,150,0.28,147,0,2013
732,29,8,37,2,7,25.42,115.1,14,89.7,9,63.6,218,0.02,135,10.18,9,107.3,12,97.1,5,-5.53,302,20,14,34,15,89,7.45,114.4,18,106.9,256,69.7,10,-0.07,317,0.94,129,102.4,159,101.4,111,4.09,61,0,2013
733,23,11,34,7,31,17.43,107.7,78,90.3,13,65.5,132,-0.049,294,7.65,29,106.6,24,98.9,45,1.92,106,20,12,32,10,51,13.8,111.1,41,97.3,80,65.2,141,0.004,166,7.8,27,106.4,30,98.6,31,2.47,91,0,2013
734,29,8,37,3,2,31.18,117.2,9,86.0,3,61.9,280,-0.089,332,7.0,41,105.6,63,98.6,36,4.09,62,23,9,32,14,138,2.82,106.6,106,103.8,195,71.9,1,0.075,25,-3.56,235,99.6,297,103.2,179,8.11,12,0,2013
735,20,10,30,14,93,7.07,108.1,74,101.1,140,63.3,229,0.037,89,0.6,133,102.8,145,102.2,126,5.07,38,29,6,35,3,23,19.02,109.9,53,90.9,16,63.7,214,0.073,27,7.98,25,106.4,31,98.4,25,4.42,51,0,2013
736,29,7,36,1,3,29.31,120.8,2,91.5,19,66.0,105,-0.021,239,8.86,17,106.7,23,97.8,14,-5.16,294,21,15,36,16,182,-0.92,100.2,218,101.1,141,62.9,248,0.063,34,-3.42,233,101.9,180,105.3,279,-4.5,283,0,2013
737,27,9,36,3,10,24.17,112.6,29,88.5,7,63.1,238,0.001,174,11.91,1,108.8,2,96.9,2,-0.75,183,26,8,34,14,65,11.42,110.7,44,99.3,111,64.3,188,0.021,130,-1.5,173,101.5,207,103.0,168,-3.18,261,0,2013
738,25,11,36,8,32,17.14,112.2,31,95.1,47,69.6,12,0.038,86,8.57,19,106.6,25,98.0,17,-0.95,189,20,14,34,9,53,13.57,106.3,113,92.7,29,66.4,88,0.011,150,9.41,12,106.5,27,97.1,4,0.3,143,0,2013
739,23,12,35,10,30,17.63,117.5,8,99.8,123,68.3,30,-0.046,288,6.74,50,105.5,71,98.7,40,-3.12,258,25,10,35,7,36,16.65,114.6,17,97.9,86,60.3,320,0.046,62,6.53,54,105.1,82,98.6,34,-6.61,318,0,2013
740,31,5,36,6,37,16.33,107.3,85,91.0,17,68.3,31,0.056,39,1.9,120,104.8,93,102.9,161,0.43,138,28,7,35,11,21,19.33,116.1,11,96.8,73,62.9,246,0.023,122,3.18,109,104.9,92,101.7,117,-0.49,172,0,2013
741,27,9,36,6,42,15.41,110.5,47,95.1,48,63.6,217,0.087,14,7.53,30,106.8,21,99.3,53,4.18,57,28,6,34,11,58,12.72,107.3,87,94.6,43,61.9,282,-0.014,220,-1.72,178,102.4,160,104.1,223,2.78,84,0,2013
742,31,8,39,4,4,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,25,10,35,13,96,6.79,112.0,33,105.2,223,62.6,261,0.03,103,-3.31,231,102.0,174,105.3,280,4.11,59,0,2013
743,27,9,36,12,34,16.95,112.3,30,95.3,51,69.2,19,-0.011,213,3.19,108,103.4,131,100.2,80,-7.55,326,23,12,35,5,12,22.57,108.3,73,85.7,2,60.4,319,-0.033,268,11.08,4,108.8,1,97.7,12,-3.2,262,0,2013
744,26,9,35,8,22,19.12,117.9,6,98.8,104,63.8,210,0.02,133,7.17,37,105.8,57,98.6,32,-0.49,173,23,11,34,9,25,18.53,114.9,15,96.4,63,66.3,93,-0.032,263,5.62,70,105.1,83,99.5,59,-2.02,225,0,2013
745,21,13,34,11,20,19.85,114.8,16,95.0,46,62.3,274,-0.036,273,11.22,2,108.5,3,97.3,7,2.07,103,25,10,35,6,46,14.53,111.1,42,96.6,67,68.1,35,0.068,32,8.06,22,105.9,44,97.9,16,0.43,139,0,2013
746,24,10,34,13,50,13.89,111.8,34,98.0,87,64.6,177,0.051,50,5.67,68,105.8,53,100.1,77,-0.5,174,27,9,36,12,34,16.95,112.3,30,95.3,51,69.2,19,-0.011,213,3.19,108,103.4,131,100.2,80,-7.55,326,0,2013
747,28,9,37,12,35,16.78,106.6,105,89.8,11,67.9,37,0.052,47,5.92,62,105.1,84,99.2,50,-8.08,332,28,7,35,4,19,20.01,108.6,71,88.6,8,63.8,213,0.0,179,3.91,97,104.5,101,100.6,91,-3.98,273,0,2013
748,29,8,37,3,2,31.18,117.2,9,86.0,3,61.9,280,-0.089,332,7.0,41,105.6,63,98.6,36,4.09,62,21,13,34,11,20,19.85,114.8,16,95.0,46,62.3,274,-0.036,273,11.22,2,108.5,3,97.3,7,2.07,103,0,2013
749,29,7,36,2,13,22.37,113.6,22,91.3,18,61.9,281,0.028,108,8.41,20,107.7,9,99.3,54,4.96,42,23,13,36,7,39,15.82,110.6,46,94.8,44,64.6,180,0.042,71,10.84,5,108.1,6,97.3,8,-0.8,185,0,2013
750,35,5,40,1,1,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,26,9,35,8,22,19.12,117.9,6,98.8,104,63.8,210,0.02,133,7.17,37,105.8,57,98.6,32,-0.49,173,0,2013
751,29,8,37,2,7,25.42,115.1,14,89.7,9,63.6,218,0.02,135,10.18,9,107.3,12,97.1,5,-5.53,302,23,12,35,10,30,17.63,117.5,8,99.8,123,68.3,30,-0.046,288,6.74,50,105.5,71,98.7,40,-3.12,258,0,2013
752,27,8,35,6,14,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,20,10,30,14,93,7.07,108.1,74,101.1,140,63.3,229,0.037,89,0.6,133,102.8,145,102.2,126,5.07,38,0,2013
753,30,6,36,2,6,26.98,119.1,4,92.1,26,66.7,75,0.033,97,9.95,10,108.4,4,98.5,29,6.85,18,28,8,36,7,15,21.75,118.3,5,96.5,66,63.8,211,-0.009,208,5.73,67,105.5,74,99.7,65,1.63,113,0,2013
754,31,6,37,1,8,25.23,112.7,27,87.5,5,66.4,86,0.01,153,7.05,40,106.8,19,99.8,66,2.64,87,25,11,36,8,32,17.14,112.2,31,95.1,47,69.6,12,0.038,86,8.57,19,106.6,25,98.0,17,-0.95,189,0,2013
755,30,9,39,9,17,20.31,111.8,35,91.5,20,63.8,208,-0.002,185,6.71,51,106.9,17,100.2,79,0.17,152,32,3,35,1,5,27.81,120.5,3,92.7,30,63.3,232,0.026,116,4.37,87,105.4,75,101.0,102,5.03,39,0,2013
756,31,8,39,4,4,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,27,9,36,5,18,20.28,114.0,20,93.7,36,66.4,91,0.002,171,5.09,76,105.8,56,100.7,97,-0.22,161,0,2013
757,26,11,37,15,105,6.27,104.9,136,98.6,99,67.9,41,0.039,79,-2.79,213,101.3,215,104.1,221,4.57,48,23,11,34,7,31,17.43,107.7,78,90.3,13,65.5,132,-0.049,294,7.65,29,106.6,24,98.9,45,1.92,106,0,2013
758,29,7,36,1,3,29.31,120.8,2,91.5,19,66.0,105,-0.021,239,8.86,17,106.7,23,97.8,14,-5.16,294,24,10,34,9,59,12.67,111.3,39,98.6,100,65.6,121,0.038,87,5.48,72,105.7,58,100.2,82,0.82,130,0,2013
759,27,9,36,3,10,24.17,112.6,29,88.5,7,63.1,238,0.001,174,11.91,1,108.8,2,96.9,2,-0.75,183,31,5,36,6,37,16.33,107.3,85,91.0,17,68.3,31,0.056,39,1.9,120,104.8,93,102.9,161,0.43,138,0,2013
760,26,9,35,3,26,18.32,113.2,24,94.9,45,63.3,230,0.09,11,9.28,13,105.9,49,96.6,1,-1.14,196,27,9,36,6,42,15.41,110.5,47,95.1,48,63.6,217,0.087,14,7.53,30,106.8,21,99.3,53,4.18,57,0,2013
761,30,10,40,4,9,24.83,113.1,26,88.3,6,63.1,235,-0.004,188,9.46,11,106.8,20,97.4,9,-4.44,282,21,12,33,12,56,13.11,107.3,88,94.2,39,64.9,159,0.041,77,8.35,21,106.0,43,97.6,10,2.12,101,0,2013
762,35,5,40,1,1,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,28,9,37,12,35,16.78,106.6,105,89.8,11,67.9,37,0.052,47,5.92,62,105.1,84,99.2,50,-8.08,332,0,2013
763,26,9,35,3,26,18.32,113.2,24,94.9,45,63.3,230,0.09,11,9.28,13,105.9,49,96.6,1,-1.14,196,29,7,36,2,13,22.37,113.6,22,91.3,18,61.9,281,0.028,108,8.41,20,107.7,9,99.3,54,4.96,42,0,2013
764,30,6,36,2,6,26.98,119.1,4,92.1,26,66.7,75,0.033,97,9.95,10,108.4,4,98.5,29,6.85,18,27,9,36,3,10,24.17,112.6,29,88.5,7,63.1,238,0.001,174,11.91,1,108.8,2,96.9,2,-0.75,183,0,2013
765,29,8,37,2,7,25.42,115.1,14,89.7,9,63.6,218,0.02,135,10.18,9,107.3,12,97.1,5,-5.53,302,27,8,35,6,14,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,0,2013
766,31,8,39,4,4,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,31,6,37,1,8,25.23,112.7,27,87.5,5,66.4,86,0.01,153,7.05,40,106.8,19,99.8,66,2.64,87,0,2013
767,30,9,39,9,17,20.31,111.8,35,91.5,20,63.8,208,-0.002,185,6.71,51,106.9,17,100.2,79,0.17,152,24,10,34,13,50,13.89,111.8,34,98.0,87,64.6,177,0.051,50,5.67,68,105.8,53,100.1,77,-0.5,174,0,2013
768,29,8,37,3,2,31.18,117.2,9,86.0,3,61.9,280,-0.089,332,7.0,41,105.6,63,98.6,36,4.09,62,26,11,37,15,105,6.27,104.9,136,98.6,99,67.9,41,0.039,79,-2.79,213,101.3,215,104.1,221,4.57,48,0,2013
769,30,10,40,4,9,24.83,113.1,26,88.3,6,63.1,235,-0.004,188,9.46,11,106.8,20,97.4,9,-4.44,282,29,7,36,1,3,29.31,120.8,2,91.5,19,66.0,105,-0.021,239,8.86,17,106.7,23,97.8,14,-5.16,294,0,2013
770,35,5,40,1,1,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,30,6,36,2,6,26.98,119.1,4,92.1,26,66.7,75,0.033,97,9.95,10,108.4,4,98.5,29,6.85,18,0,2013
771,30,10,40,4,9,24.83,113.1,26,88.3,6,63.1,235,-0.004,188,9.46,11,106.8,20,97.4,9,-4.44,282,26,9,35,3,26,18.32,113.2,24,94.9,45,63.3,230,0.09,11,9.28,13,105.9,49,96.6,1,-1.14,196,0,2013
772,30,9,39,9,17,20.31,111.8,35,91.5,20,63.8,208,-0.002,185,6.71,51,106.9,17,100.2,79,0.17,152,29,8,37,2,7,25.42,115.1,14,89.7,9,63.6,218,0.02,135,10.18,9,107.3,12,97.1,5,-5.53,302,0,2013
773,31,8,39,4,4,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,29,8,37,3,2,31.18,117.2,9,86.0,3,61.9,280,-0.089,332,7.0,41,105.6,63,98.6,36,4.09,62,0,2013
774,35,5,40,1,1,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,30,9,39,9,17,20.31,111.8,35,91.5,20,63.8,208,-0.002,185,6.71,51,106.9,17,100.2,79,0.17,152,0,2013
775,31,8,39,4,4,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,30,10,40,4,9,24.83,113.1,26,88.3,6,63.1,235,-0.004,188,9.46,11,106.8,20,97.4,9,-4.44,282,0,2013
776,35,5,40,1,1,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,31,8,39,4,4,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,0,2013
777,14,20,34,16,176,-0.82,103.6,202,104.4,159,58.8,347,-0.044,276,2.38,111,107.4,89,105.0,158,10.19,9,19,15,34,16,259,-7.49,106.7,142,114.1,326,65.7,120,-0.004,196,-11.11,349,97.6,350,108.8,300,2.72,85,0,2014
778,19,15,34,16,181,-1.04,102.9,217,103.9,148,61.6,314,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,16,17,33,16,209,-3.96,107.8,127,111.7,292,68.2,39,0.031,110,-4.27,245,102.7,272,107.0,242,3.09,75,0,2014
779,24,13,37,11,10,23.69,117.9,15,94.2,19,61.6,313,-0.099,341,8.12,36,108.9,46,100.8,29,1.46,115,20,13,33,11,22,20.44,120.2,5,99.8,77,68.6,29,-0.116,347,8.35,32,108.6,55,100.2,10,-6.19,318,0,2014
780,22,14,36,12,62,11.6,114.0,34,102.4,121,64.7,172,0.065,39,7.77,40,108.4,60,100.7,21,-4.31,289,21,13,34,12,52,13.11,112.9,46,99.8,76,64.2,202,0.017,139,7.89,37,109.1,38,101.2,44,0.41,149,0,2014
781,23,13,36,10,34,16.06,112.4,54,96.4,40,65.3,147,0.016,144,9.42,14,110.2,17,100.7,25,2.34,97,27,7,34,7,33,17.15,113.5,41,96.3,39,64.4,191,0.032,106,4.83,88,107.7,78,102.9,97,3.24,69,0,2014
782,32,8,40,7,15,22.13,113.6,39,91.5,10,63.2,254,0.08,23,9.43,13,109.7,24,100.3,11,0.91,134,24,10,34,10,55,12.93,112.3,57,99.4,68,64.3,198,0.079,25,6.18,64,107.5,85,101.3,45,0.17,156,0,2014
783,24,13,37,11,10,23.69,117.9,15,94.2,19,61.6,313,-0.099,341,8.12,36,108.9,46,100.8,29,1.46,115,24,9,33,6,50,13.46,110.0,91,96.5,43,70.3,11,0.065,40,7.33,52,108.0,71,100.6,19,5.53,40,0,2014
784,24,10,34,7,28,19.02,118.9,8,99.9,79,67.5,50,-0.037,262,7.39,50,109.1,37,101.8,62,-1.18,197,23,12,35,10,49,13.77,114.5,31,100.7,93,70.8,6,-0.004,194,6.59,60,109.6,26,103.0,98,8.43,17,0,2014
785,27,7,34,5,35,15.72,105.7,168,90.0,8,65.6,124,0.04,88,5.04,85,107.2,96,102.2,75,-1.5,206,22,14,36,12,62,11.6,114.0,34,102.4,121,64.7,172,0.065,39,7.77,40,108.4,60,100.7,21,-4.31,289,0,2014
786,27,5,32,12,32,17.58,112.9,47,95.3,27,64.1,211,0.02,131,0.13,146,104.5,170,104.3,125,0.98,130,27,7,34,5,27,19.24,109.7,98,90.4,9,61.1,328,0.036,97,4.72,92,107.3,93,102.6,88,-4.57,294,0,2014
787,24,11,35,7,41,14.52,111.8,61,97.3,53,66.8,70,0.092,14,9.61,10,110.9,4,101.3,46,-1.74,213,21,12,33,10,39,14.82,111.2,67,96.4,41,67.4,58,0.003,180,7.5,47,108.6,53,101.1,41,-2.6,234,0,2014
788,26,10,36,9,16,21.89,116.9,18,95.0,25,62.2,295,-0.038,264,7.62,44,108.0,69,100.4,13,-3.66,275,23,12,35,8,67,11.2,107.7,129,96.5,42,64.8,167,0.12,3,8.74,26,109.5,27,100.8,26,1.71,110,0,2014
789,31,6,37,4,1,30.41,118.9,7,88.5,5,67.2,60,-0.045,278,4.31,95,107.0,100,102.7,93,-4.65,295,25,8,33,13,74,10.21,107.2,134,97.0,46,67.7,46,-0.008,202,-0.2,152,105.6,128,105.8,191,3.46,65,0,2014
790,28,8,36,3,20,21.07,118.9,9,97.8,55,70.2,12,0.064,42,10.77,4,111.1,2,100.4,12,1.44,117,28,6,34,14,92,7.98,108.6,114,100.7,92,62.3,293,0.04,87,-10.35,347,98.1,349,108.5,289,-1.94,216,0,2014
791,28,6,34,3,18,21.62,114.6,28,93.0,13,59.6,344,0.016,141,7.23,55,109.4,33,102.2,74,-1.01,189,23,10,33,14,131,3.36,106.3,152,103.0,130,65.2,151,0.098,10,-1.86,188,103.9,202,105.7,187,-3.25,261,0,2014
792,26,12,38,6,26,19.39,118.9,10,99.5,70,61.3,319,0.012,157,10.31,7,111.0,3,100.6,20,-0.36,171,19,13,32,11,56,12.64,108.8,111,96.1,36,64.7,170,0.047,77,9.3,18,108.4,61,99.1,3,-1.95,217,0,2014
793,26,7,33,12,61,11.76,115.5,25,103.7,144,62.3,292,0.089,17,1.38,121,106.8,105,105.4,173,5.32,44,23,10,33,5,30,17.9,117.9,16,100.0,82,69.6,17,-0.022,232,9.13,20,110.2,16,101.0,38,0.5,147,0,2014
794,29,5,34,2,11,23.68,116.3,21,92.6,12,66.0,103,0.075,30,7.47,49,110.1,18,102.6,90,2.61,87,21,14,35,15,168,0.08,104.7,188,104.6,164,65.8,115,0.119,4,0.03,150,104.4,173,104.4,128,-2.92,247,0,2014
795,33,5,38,1,2,30.11,116.5,20,86.4,1,62.8,272,0.014,151,9.3,17,109.9,20,100.6,18,1.62,113,19,12,31,16,172,-0.62,106.4,149,107.0,213,62.9,263,-0.009,203,-6.78,304,103.3,238,110.0,338,6.69,30,0,2014
796,27,8,35,3,17,21.72,124.2,2,102.5,124,63.6,237,0.024,128,7.5,48,108.5,58,101.0,35,1.31,122,23,12,35,14,113,5.19,110.2,89,105.0,167,68.5,31,0.038,91,-0.57,161,105.0,150,105.6,181,4.65,55,0,2014
797,25,10,35,2,7,24.6,119.3,6,94.7,22,66.6,83,-0.051,295,12.13,1,112.2,1,100.0,7,9.47,11,24,10,34,15,125,3.96,112.4,55,108.4,235,64.2,203,0.036,96,-4.97,268,104.1,189,109.0,314,-5.04,304,0,2014
798,27,9,36,14,87,8.34,110.8,75,102.4,119,63.6,233,0.022,130,-4.44,248,103.6,216,108.0,279,4.65,56,26,9,35,3,8,24.25,124.7,1,100.4,86,64.6,179,-0.035,255,8.76,25,109.2,34,100.5,17,2.4,93,0,2014
799,29,7,36,8,24,20.14,114.0,35,93.8,18,65.0,154,0.016,146,5.05,83,109.0,42,103.9,110,2.2,100,21,13,34,9,21,20.98,115.9,22,95.0,24,67.2,59,-0.11,343,9.06,21,109.9,19,100.8,28,-1.15,194,0,2014
800,32,3,35,12,70,10.83,112.3,58,101.5,105,61.2,323,0.073,33,-7.12,309,102.0,298,109.2,316,-4.19,286,26,9,35,5,25,19.8,109.2,106,89.4,6,68.9,22,-0.058,308,5.45,77,107.4,88,102.0,66,1.33,118,0,2014
801,26,11,37,11,42,14.25,113.8,37,99.6,72,63.8,223,0.038,93,6.25,63,107.7,79,101.4,51,-0.57,178,25,10,35,6,19,21.3,109.3,103,88.0,2,64.0,218,-0.043,275,7.8,39,109.2,36,101.4,50,-3.36,267,0,2014
802,31,5,36,4,23,20.38,110.4,86,90.0,7,62.3,294,0.067,37,5.18,79,108.0,68,102.8,96,2.71,86,26,10,36,13,72,10.54,112.9,45,102.4,117,65.2,148,-0.03,246,-3.64,234,103.0,258,106.7,225,2.6,88,0,2014
803,35,1,36,1,6,25.36,117.8,17,92.4,11,63.5,243,-0.009,205,1.04,125,105.8,119,104.8,144,2.89,79,14,20,34,16,176,-0.82,103.6,202,104.4,159,58.8,347,-0.044,276,2.38,111,107.4,89,105.0,158,10.19,9,0,2014
804,30,7,37,1,4,26.46,114.8,27,88.3,4,59.5,345,0.012,154,8.67,28,109.4,31,100.8,27,1.57,114,21,13,34,16,221,-4.98,98.2,290,103.2,133,65.6,125,0.04,89,-8.1,332,102.1,297,110.2,342,-4.94,301,0,2014
805,36,3,39,1,3,28.57,116.5,19,88.0,3,61.3,318,0.053,68,9.02,22,109.4,32,100.4,14,2.39,94,19,15,34,16,181,-1.04,102.9,217,103.9,148,61.6,314,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,0,2014
806,28,9,37,4,14,22.53,118.7,11,96.1,37,68.4,33,-0.019,224,7.63,43,109.1,39,101.5,58,-3.26,262,21,13,34,13,82,8.93,106.1,159,97.2,51,66.8,72,-0.023,234,0.57,136,104.9,154,104.3,124,2.81,82,0,2014
807,29,9,38,4,9,23.92,118.6,13,94.7,21,64.4,188,-0.003,192,10.44,6,110.2,15,99.7,5,0.57,144,25,10,35,13,106,5.83,112.0,60,106.2,192,70.4,10,0.064,41,-0.68,163,105.2,146,105.9,199,2.88,80,0,2014
808,24,10,34,6,29,18.44,112.6,48,94.2,20,69.2,18,0.0,186,8.83,23,110.5,9,101.6,60,1.31,121,23,12,35,11,48,13.81,114.6,30,100.8,94,62.9,264,0.051,69,8.35,31,109.2,35,100.8,32,0.81,139,0,2014
809,29,11,40,8,13,22.55,118.3,14,95.8,32,64.0,217,-0.025,240,10.73,5,110.5,7,99.8,6,4.19,60,20,13,33,9,45,14.1,107.8,125,93.7,16,63.3,247,0.001,185,8.17,35,110.5,8,102.3,81,-4.06,285,0,2014
810,24,10,34,8,36,15.22,112.4,56,97.1,50,67.5,53,0.048,73,7.25,54,108.3,63,101.1,39,0.02,160,24,9,33,9,47,13.82,110.8,74,97.0,47,65.3,144,0.056,61,5.56,74,107.3,95,101.7,61,-0.08,162,0,2014
811,28,9,37,2,12,23.44,123.9,3,100.5,89,61.0,330,0.047,76,11.65,2,110.3,12,98.6,1,0.62,142,20,13,33,15,192,-1.94,100.6,252,102.6,125,60.5,337,0.025,125,-5.87,287,103.5,224,109.3,320,7.63,22,0,2014
812,30,8,38,2,5,25.89,122.0,4,96.1,35,62.4,286,0.019,133,11.44,3,110.2,13,98.8,2,3.33,68,20,13,33,15,120,4.57,103.4,206,98.9,61,59.7,343,0.007,165,-2.59,208,103.6,218,106.2,210,-0.1,163,0,2014
813,28,9,37,4,14,22.53,118.7,11,96.1,37,68.4,33,-0.019,224,7.63,43,109.1,39,101.5,58,-3.26,262,32,3,35,12,70,10.83,112.3,58,101.5,105,61.2,323,0.073,33,-7.12,309,102.0,298,109.2,316,-4.19,286,0,2014
814,23,13,36,10,34,16.06,112.4,54,96.4,40,65.3,147,0.016,144,9.42,14,110.2,17,100.7,25,2.34,97,25,10,35,2,7,24.6,119.3,6,94.7,22,66.6,83,-0.051,295,12.13,1,112.2,1,100.0,7,9.47,11,0,2014
815,26,11,37,11,42,14.25,113.8,37,99.6,72,63.8,223,0.038,93,6.25,63,107.7,79,101.4,51,-0.57,178,28,6,34,3,18,21.62,114.6,28,93.0,13,59.6,344,0.016,141,7.23,55,109.4,33,102.2,74,-1.01,189,0,2014
816,32,8,40,7,15,22.13,113.6,39,91.5,10,63.2,254,0.08,23,9.43,13,109.7,24,100.3,11,0.91,134,29,5,34,2,11,23.68,116.3,21,92.6,12,66.0,103,0.075,30,7.47,49,110.1,18,102.6,90,2.61,87,0,2014
817,24,13,37,11,10,23.69,117.9,15,94.2,19,61.6,313,-0.099,341,8.12,36,108.9,46,100.8,29,1.46,115,27,9,36,14,87,8.34,110.8,75,102.4,119,63.6,233,0.022,130,-4.44,248,103.6,216,108.0,279,4.65,56,0,2014
818,31,5,36,4,23,20.38,110.4,86,90.0,7,62.3,294,0.067,37,5.18,79,108.0,68,102.8,96,2.71,86,26,7,33,12,61,11.76,115.5,25,103.7,144,62.3,292,0.089,17,1.38,121,106.8,105,105.4,173,5.32,44,0,2014
819,30,8,38,2,5,25.89,122.0,4,96.1,35,62.4,286,0.019,133,11.44,3,110.2,13,98.8,2,3.33,68,24,10,34,7,28,19.02,118.9,8,99.9,79,67.5,50,-0.037,262,7.39,50,109.1,37,101.8,62,-1.18,197,0,2014
820,31,6,37,4,1,30.41,118.9,7,88.5,5,67.2,60,-0.045,278,4.31,95,107.0,100,102.7,93,-4.65,295,27,7,34,5,35,15.72,105.7,168,90.0,8,65.6,124,0.04,88,5.04,85,107.2,96,102.2,75,-1.5,206,0,2014
821,28,9,37,2,12,23.44,123.9,3,100.5,89,61.0,330,0.047,76,11.65,2,110.3,12,98.6,1,0.62,142,24,11,35,7,41,14.52,111.8,61,97.3,53,66.8,70,0.092,14,9.61,10,110.9,4,101.3,46,-1.74,213,0,2014
822,26,12,38,6,26,19.39,118.9,10,99.5,70,61.3,319,0.012,157,10.31,7,111.0,3,100.6,20,-0.36,171,27,8,35,3,17,21.72,124.2,2,102.5,124,63.6,237,0.024,128,7.5,48,108.5,58,101.0,35,1.31,122,0,2014
823,33,5,38,1,2,30.11,116.5,20,86.4,1,62.8,272,0.014,151,9.3,17,109.9,20,100.6,18,1.62,113,29,7,36,8,24,20.14,114.0,35,93.8,18,65.0,154,0.016,146,5.05,83,109.0,42,103.9,110,2.2,100,0,2014
